station,channel,station_latitude,station_longitude,vs30_ms,Ml,epicentral_distance,hypocentral_distance,channel_pga_pct_g,channel_pgv_ms
CTU,HHE,40.6925,-111.7503,2197.0,3.6,161.8,161.86,0.00292219,0.00210599
CTU,HHN,40.6925,-111.7503,2197.0,3.6,161.8,161.86,0.00265911,0.00148629
HVU,HHE,41.7797,-112.775,2197.0,3.6,28.54,28.91,0.1256933,0.02628949
HVU,HHN,41.7797,-112.775,2197.0,3.6,28.54,28.91,0.2107014,0.03255851
NOQ,HHE,40.6528,-112.1188,2197.0,3.6,155.06,155.13,0.00340053,0.00166658
NOQ,HHN,40.6528,-112.1188,2197.0,3.6,155.06,155.13,0.00453921,0.00285944
HVU,HHE,41.7797,-112.775,2197.0,3.0,173.79,173.87,0.00237262,0.00126893
HVU,HHN,41.7797,-112.775,2197.0,3.0,173.79,173.87,0.0027549,0.00156464
7212,HNE,41.1959,-111.9417,256.0,3.0,90.38,90.38,0.01274804,0.00587694
7212,HNN,41.1959,-111.9417,256.0,3.0,90.38,90.38,0.01145015,0.00697911
HWUT,BHE,41.6068,-111.5652,2197.0,3.0,41.66,41.66,0.01085577,0.00594844
HWUT,BHN,41.6068,-111.5652,2197.0,3.0,41.66,41.66,0.00832625,0.00355911
BGU,HHE,40.9255,-113.0298,2197.0,3.0,184.02,184.02,0.00048699,0.00023891
BGU,HHN,40.9255,-113.0298,2197.0,3.0,184.02,184.02,0.00051589,0.00017179
CTU,HHE,40.6925,-111.7503,2197.0,3.0,123.74,123.74,0.00189834,0.00059404
CTU,HHN,40.6925,-111.7503,2197.0,3.0,123.74,123.74,0.00194113,0.00067154
HVU,HHE,41.7797,-112.775,2197.0,3.0,141.78,141.78,0.00314971,0.0012778
HVU,HHN,41.7797,-112.775,2197.0,3.0,141.78,141.78,0.00259535,0.00098371
JLU,HHE,40.602,-111.45,1010.0,3.0,124.13,124.13,0.00075816,0.00031277
JLU,HHN,40.602,-111.45,1010.0,3.0,124.13,124.13,0.00103874,0.00041117
NOQ,HHE,40.6528,-112.1188,2197.0,3.0,144.08,144.08,0.00455922,0.00141714
NOQ,HHN,40.6528,-112.1188,2197.0,3.0,144.08,144.08,0.00438407,0.0014734
RDMU,HHE,40.5708,-109.57,1460.0,3.0,176.78,176.78,0.00317548,0.00077424
RDMU,HHN,40.5708,-109.57,1460.0,3.0,176.78,176.78,0.00281061,0.00079165
TCU,HHE,41.1173,-111.4078,1460.0,3.0,68.72,68.72,0.00994428,0.00399214
TCU,HHN,41.1173,-111.4078,1460.0,3.0,68.72,68.72,0.01008393,0.00413355
BCU,ENE,41.5123,-111.9822,2197.0,3.0,77.93,77.93,0.00269466,0.00139685
BCU,ENN,41.5123,-111.9822,2197.0,3.0,77.93,77.93,0.00259386,0.00128903
CAPU,ENE,40.7785,-111.89,290.0,3.0,121.48,121.48,0.1768822,0.00737947
CAPU,ENN,40.7785,-111.89,290.0,3.0,121.48,121.48,0.06628032,0.00328146
CWR,ENE,41.5817,-111.7815,2197.0,3.0,59.88,59.88,0.00643737,0.00213795
CWR,ENN,41.5817,-111.7815,2197.0,3.0,59.88,59.88,0.01353023,0.00464788
FTT,ENE,40.686,-112.0832,408.0,3.0,139.33,139.33,0.00538395,0.0023588
FTT,ENN,40.686,-112.0832,408.0,3.0,139.33,139.33,0.00535595,0.00307524
JRP,ENE,40.8257,-111.9443,198.0,3.0,119.88,119.88,0.0095166,0.00359546
JRP,ENN,40.8257,-111.9443,198.0,3.0,119.88,119.88,0.01399771,0.00738071
LKC,ENE,40.727,-112.0357,198.0,3.0,133.28,133.28,0.015351,0.00775718
LKC,ENN,40.727,-112.0357,198.0,3.0,133.28,133.28,0.00993683,0.00324901
LRG,ENE,41.7137,-111.8513,234.0,3.0,64.65,64.65,0.00889373,0.00398203
LRG,ENN,41.7137,-111.8513,234.0,3.0,64.65,64.65,0.00960336,0.00443338
MOR,ENE,41.0462,-111.6657,2197.0,3.0,86.28,86.28,0.00404926,0.00232647
MOR,ENN,41.0462,-111.6657,2197.0,3.0,86.28,86.28,0.00356102,0.00157431
NAI,ENE,41.0162,-112.2282,2197.0,3.0,121.62,121.62,0.00375067,0.00160356
NAI,ENN,41.0162,-112.2282,2197.0,3.0,121.62,121.62,0.00265382,0.00099512
NOQ,ENE,40.6528,-112.1188,2197.0,3.0,144.08,144.08,0.00450878,0.00144681
NOQ,ENN,40.6528,-112.1188,2197.0,3.0,144.08,144.08,0.00435706,0.00149115
OF2,ENE,41.2283,-111.9487,207.0,3.0,88.74,88.74,0.00644765,0.00266552
OF2,ENN,41.2283,-111.9487,207.0,3.0,88.74,88.74,0.00732077,0.00300217
RIV,ENE,40.5193,-111.9342,290.0,3.0,148.02,148.02,0.00380373,0.00132647
RIV,ENN,40.5193,-111.9342,290.0,3.0,148.02,148.02,0.00403189,0.00153096
SCS,ENE,41.0955,-112.0468,207.0,3.0,104.2,104.2,0.00845552,0.00290154
SCS,ENN,41.0955,-112.0468,207.0,3.0,104.2,104.2,0.00645332,0.00236475
SPR,ENE,40.1823,-111.6118,174.0,3.0,172.7,172.7,0.00610704,0.00176027
SPR,ENN,40.1823,-111.6118,174.0,3.0,172.7,172.7,0.00643031,0.00187113
UHP,ENE,40.9912,-111.898,256.0,3.0,103.18,103.18,0.01229246,0.00284277
UHP,ENN,40.9912,-111.898,256.0,3.0,103.18,103.18,0.01932653,0.00321083
UTH,ENE,41.1442,-111.9253,256.0,3.0,92.9,92.9,0.00962272,0.00398631
UTH,ENN,41.1442,-111.9253,256.0,3.0,92.9,92.9,0.01245585,0.00421868
WCF,ENE,41.6395,-111.9323,234.0,3.0,71.51,71.51,0.01176984,0.00588335
WCF,ENN,41.6395,-111.9323,234.0,3.0,71.51,71.51,0.01321685,0.00626649
CTU,HHE,40.6925,-111.7503,2197.0,3.1,192.3,192.72,0.00142438,0.00050496
CTU,HHN,40.6925,-111.7503,2197.0,3.1,192.3,192.72,0.00158912,0.00032812
2272,HNE,40.6997,-111.7935,408.0,4.9,125.95,126.2,0.1594195,0.05927068
2272,HNN,40.6997,-111.7935,408.0,4.9,125.95,126.2,0.2715382,0.1181836
2286,HNE,40.7012,-111.8663,198.0,4.9,128.76,129.01,0.1706605,0.1053541
2286,HNN,40.7012,-111.8663,198.0,4.9,128.76,129.01,0.1868744,0.1091379
